rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210005y86,DEBW_52210005y86,7639.703407204559,9514.699999999999,-1874.99659279544,-19.70631331303604
DEBW_52210005yG0,DEBW_52210005yG0,11641.03509756642,12258.0,-616.9649024335795,-5.033161220701415
DEBW_52210005yIg,DEBW_52210005yIg,8405.989972370224,8048.5,357.48997237022377,4.44169686736937
DEBW_52210005yi4,DEBW_52210005yi4,3476.8421684023883,3968.3999999999996,-491.5578315976113,-12.386801521963797
DEBW_52210005yjZ,DEBW_52210005yjZ,10606.434167196292,11716.0,-1109.565832803708,-9.47051752136999
DEBW_52210005ylp,DEBW_52210005ylp,9511.591259691842,9980.5,-468.9087403081576,-4.698248988609364
DEBW_52210005ynV,DEBW_52210005ynV,1927.0480405692865,2066.2000000000003,-139.15195943071376,-6.734680061500035
DEBW_52210005yqw,DEBW_52210005yqw,10255.314737789608,13069.9,-2814.585262210392,-21.534864552983514
DEBW_52210005yrw,DEBW_52210005yrw,15834.010908965252,16965.5,-1131.4890910347476,-6.669353046092056
DEBW_52210005zVK,DEBW_52210005zVK,6126.180647282279,6539.2,-413.0193527177207,-6.316053228494628
DEBW_52210005zd7,DEBW_52210005zd7,6980.44295213849,9703.0,-2722.55704786151,-28.058920414938783
DEBW_52210005zmV,DEBW_52210005zmV,9440.989398861551,12687.9,-3246.9106011384483,-25.590606807576105
DEBW_522100060Iy,DEBW_522100060Iy,9038.832227249268,11804.599999999999,-2765.7677727507307,-23.429576374893948
DEBW_522100060Oq,DEBW_522100060Oq,6581.623510176676,8598.7,-2017.0764898233247,-23.457923753861916
DEBW_522100060XU,DEBW_522100060XU,5287.032690715549,6008.0,-720.9673092844514,-12.000121659195264
DEBW_522100060Xf,DEBW_522100060Xf,11157.978568690327,14550.199999999999,-3392.221431309672,-23.31391617510187
DEBW_522100060Xq,DEBW_522100060Xq,5732.667346361505,6070.299999999999,-337.63265363849405,-5.562042298378896
DEBW_522100060vu,DEBW_522100060vu,6739.931754291881,8681.800000000001,-1941.8682457081204,-22.367115640859268
DEBW_5221000619W,DEBW_5221000619W,7576.678333126147,7969.799999999999,-393.1216668738525,-4.9326415578038665
DEBW_5221000629z,DEBW_5221000629z,4727.374899499271,4501.1,226.27489949927076,5.0271022527664515
DEBW_522100063eT,DEBW_522100063eT,46490.176517179614,57515.90000000001,-11025.723482820395,-19.169870388571493
DEBW_5221000647b,DEBW_5221000647b,8950.917741872065,9796.4,-845.482258127935,-8.630540383487148
