rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210005MRo,DEBW_52210005MRo,14753.378200786035,16761.300000000003,-2007.9217992139675,-11.979511131081521
DEBW_52210005MSz,DEBW_52210005MSz,22399.34901450113,23438.7,-1039.3509854988697,-4.434337166732241
DEBW_52210005MV3,DEBW_52210005MV3,56328.61330059749,61258.299999999996,-4929.686699402504,-8.047377578879114
DEBW_52210005Mki,DEBW_52210005Mki,35432.62101691874,43090.7,-7658.078983081257,-17.771999487316887
DEBW_52210005N87,DEBW_52210005N87,25544.86567346855,30886.000000000004,-5341.134326531454,-17.29305940080118
DEBW_52210005PFV,DEBW_52210005PFV,19652.367147148256,20578.899999999998,-926.5328528517421,-4.502343919508537
DEBW_52210005PRs,DEBW_52210005PRs,44705.96864035776,50443.600000000006,-5737.631359642248,-11.374349490603857
DEBW_52210005Q4u,DEBW_52210005Q4u,21380.376825116953,23392.1,-2011.7231748830454,-8.600011007489902
DEBW_52210005dgg,DEBW_52210005dgg,15407.095780532429,18222.4,-2815.3042194675727,-15.449689500107407
DEBW_52210005diH,DEBW_52210005diH,35000.82693319465,42719.600000000006,-7718.7730668053555,-18.068458194377648
DEBW_52210005djN,DEBW_52210005djN,32401.4261628924,40668.3,-8266.873837107603,-20.3275618531082
DEBW_52210005dnU,DEBW_52210005dnU,16575.49490035647,17664.1,-1088.6050996435297,-6.16281101014787
DEBW_52210005doZ,DEBW_52210005doZ,26903.25407213749,31238.399999999998,-4335.145927862508,-13.877618341088239
DEBW_52210005eg5,DEBW_52210005eg5,25978.213698888365,30451.3,-4473.086301111634,-14.689311461617843
DEBW_52210005ej5,DEBW_52210005ej5,28052.71981506561,32505.7,-4452.980184934389,-13.699074885125961
DEBW_52210005elC,DEBW_52210005elC,26842.813351601206,31152.399999999998,-4309.586648398792,-13.833883259070864
DEBW_52210005ela,DEBW_52210005ela,27483.188978959573,30339.399999999998,-2856.2110210404244,-9.414197449654326
DEBW_52210005ely,DEBW_52210005ely,13218.207668830277,13409.1,-190.89233116972355,-1.4236028605180329
DEBW_52210005em7,DEBW_52210005em7,54558.61964751823,65324.4,-10765.780352481772,-16.48048868796617
DEBW_52210005enf,DEBW_52210005enf,50577.617997323134,61234.6,-10656.982002676865,-17.403530034779134
DEBW_52210005evc,DEBW_52210005evc,29544.938130793074,35546.5,-6001.561869206926,-16.883692822660247
DEBW_52210005fBS,DEBW_52210005fBS,24632.591748889085,31031.799999999996,-6399.208251110911,-20.621453641461056
DEBW_52210005fRL,DEBW_52210005fRL,20091.246768076322,22619.0,-2527.753231923678,-11.175353605038586
DEBW_52210005fRo,DEBW_52210005fRo,22824.009756384203,27879.9,-5055.890243615799,-18.134535072277156
DEBW_52210005fiS,DEBW_52210005fiS,18894.409227596836,21981.0,-3086.590772403164,-14.042085311874638
DEBW_52210005g5H,DEBW_52210005g5H,7940.973900045621,9188.5,-1247.5260999543789,-13.577037600853012
DEBW_52210005gBZ,DEBW_52210005gBZ,22300.23079151218,24877.600000000002,-2577.369208487824,-10.360200374987233
DEBW_52210005gOD,DEBW_52210005gOD,30680.34864945324,37856.799999999996,-7176.451350546755,-18.95683562938958
DEBW_52210005gvh,DEBW_52210005gvh,23034.143210481263,27764.6,-4730.456789518736,-17.037727140022678
DEBW_52210005gwl,DEBW_52210005gwl,6803.674602927688,7904.0999999999985,-1100.4253970723103,-13.922209955242348
DEBW_52210005gxN,DEBW_52210005gxN,14293.708746032084,15171.5,-877.7912539679164,-5.7857908180991755
DEBW_52210005hG5,DEBW_52210005hG5,23943.654361296904,26899.4,-2955.745638703098,-10.988147091396455
DEBW_52210005hJf,DEBW_52210005hJf,22180.603021610477,23316.0,-1135.3969783895227,-4.869604470704764
DEBW_52210005jPg,DEBW_52210005jPg,28868.73265767177,33279.799999999996,-4411.067342328224,-13.25448873589452
DEBW_52210005k39,DEBW_52210005k39,32416.008430822847,43092.50000000001,-10676.49156917716,-24.775753481875405
DEBW_52210005k3y,DEBW_52210005k3y,25952.50776283425,29368.0,-3415.4922371657485,-11.629979015138069
DEBW_52210005xLD,DEBW_52210005xLD,26472.27160459601,31116.399999999998,-4644.128395403986,-14.925018303544068
DEBW_52210005xM5,DEBW_52210005xM5,31759.208033062685,37712.399999999994,-5953.191966937309,-15.785767988611996
DEBW_52210005xO2,DEBW_52210005xO2,18603.771277575248,23427.600000000002,-4823.828722424754,-20.590366586525096
DEBW_52210005xRe,DEBW_52210005xRe,7463.3192106605275,8605.0,-1141.6807893394725,-13.267644268907292
