rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210005MV3,DEBW_52210005MV3,exact,6267.996470233894,21825.0,-15557.003529766105,-71.28065763924904,8760,2.9567196371135624,5.150490833842233,-0.5627496232194645,0.8336716972907808,56328.61330059749,61258.299999999996,-4929.686699402504,-8.047377578879114
DEBW_52210005Mki,DEBW_52210005Mki,exact,4076.4972046620264,13301.0,-9224.502795337974,-69.3519494424327,8760,1.8706413743447698,3.450968663981596,-0.8742099295754864,0.8322475268486682,35432.62101691874,43090.7,-7658.078983081257,-17.771999487316887
DEBW_52210005N87,DEBW_52210005N87,exact,2771.869998680746,9941.0,-7169.130001319254,-72.11678906869786,8760,1.3173638293237733,2.4210885512830917,-0.6097185304259652,0.8386847859358015,25544.86567346855,30886.000000000004,-5341.134326531454,-17.29305940080118
DEBW_52210005PFV,DEBW_52210005PFV,exact,1739.3105060316332,6994.0,-5254.689493968367,-75.13139110621057,8760,1.046568819723264,1.7955532792356088,-0.10576859050818968,0.8290265814989389,19652.367147148256,20578.899999999998,-926.5328528517421,-4.502343919508537
DEBW_52210005PRs,DEBW_52210005PRs,exact,5681.156955625864,18847.0,-13165.843044374136,-69.8564389259518,8760,2.0727314608784804,3.6980092366638155,-0.6549807488176067,0.8630819064167081,44705.96864035776,50443.600000000006,-5737.631359642248,-11.374349490603857
DEBW_52210005Q4u,DEBW_52210005Q4u,exact,3198.715107996899,9919.0,-6720.284892003101,-67.75163718119872,8760,1.09478166380546,1.9228070272048505,-0.22964876425605577,0.842229060354319,21380.376825116953,23392.1,-2011.7231748830454,-8.600011007489902
DEBW_52210005dgg,DEBW_52210005dgg,exact,1835.5218182926083,4832.0,-2996.4781817073917,-62.01320740288476,8760,0.7756483385334142,1.4056660413147835,-0.32138176021319304,0.8449435139117102,15407.095780532429,18222.4,-2815.3042194675727,-15.449689500107407
DEBW_52210005diH,DEBW_52210005diH,exact,3873.0170604479695,13900.0,-10026.98293955203,-72.13656791044626,8760,1.823734284507128,3.3673050717976416,-0.8811384779458158,0.836659477080343,35000.82693319465,42719.600000000006,-7718.7730668053555,-18.068458194377648
DEBW_52210005djN,DEBW_52210005djN,exact,3971.9833252964363,11549.0,-7577.016674703564,-65.6075562793624,8760,1.7638188187508557,3.298098757365173,-0.9437070590305479,0.8264684776418386,32401.4261628924,40668.3,-8266.873837107603,-20.3275618531082
DEBW_52210005dnU,DEBW_52210005dnU,exact,1400.121290304193,5147.0,-3746.8787096958067,-72.79733261503412,8760,0.8296177777461562,1.4319452753995503,-0.12426998854378209,0.8432170568949439,16575.49490035647,17664.1,-1088.6050996435297,-6.16281101014787
DEBW_52210005doZ,DEBW_52210005doZ,exact,2997.4849616090764,9801.0,-6803.515038390924,-69.4165395203645,8760,1.4014580658875913,2.530966540912227,-0.4948796721304239,0.8336303291483732,26903.25407213749,31238.399999999998,-4335.145927862508,-13.877618341088239
DEBW_52210005eg5,DEBW_52210005eg5,exact,2943.0058169543813,8608.0,-5664.994183045619,-65.81080602980506,8760,1.3670124787374907,2.468732791093349,-0.5106262900812368,0.8320834643330094,25978.213698888365,30451.3,-4473.086301111634,-14.689311461617843
DEBW_52210005ej5,DEBW_52210005ej5,exact,3205.046319950272,9774.0,-6568.953680049728,-67.20844771894545,8760,1.50013534694179,2.696946692672078,-0.5083310713395421,0.8272520006974988,28052.71981506561,32505.7,-4452.980184934389,-13.699074885125961
DEBW_52210005elC,DEBW_52210005elC,exact,3114.4115558629983,8621.0,-5506.588444137002,-63.87412648343581,8760,1.4554287268743913,2.6197192938928486,-0.491961946164246,0.8238592589830975,26842.813351601206,31152.399999999998,-4309.586648398792,-13.833883259070864
DEBW_52210005ela,DEBW_52210005ela,exact,2916.1352569124983,10076.0,-7159.864743087502,-71.05860205525508,8760,1.4119820253484516,2.4800423812674333,-0.3260514864201402,0.8376117297285235,27483.188978959573,30339.399999999998,-2856.2110210404244,-9.414197449654326
DEBW_52210005ely,DEBW_52210005ely,exact,1200.914025321717,4194.0,-2993.085974678283,-71.36590306815171,8760,0.6201878530155139,1.0573169936298346,-0.021791362005676024,0.8596144319373508,13218.207668830277,13409.1,-190.89233116972355,-1.4236028605180329
DEBW_52210005em7,DEBW_52210005em7,exact,6441.757626380393,19255.0,-12813.242373619607,-66.54501362565364,8760,3.0085775593289568,5.5227294431457,-1.2289703598723478,0.8177257401840909,54558.61964751823,65324.4,-10765.780352481772,-16.48048868796617
DEBW_52210005enf,DEBW_52210005enf,exact,5486.07760605712,15837.0,-10350.922393942881,-65.35911090448242,8760,2.8960942049978944,5.35502982499564,-1.2165504569265828,0.8052967424584284,50577.617997323134,61234.6,-10656.982002676865,-17.403530034779134
DEBW_52210005evc,DEBW_52210005evc,exact,3732.906668650945,9600.0,-5867.093331349055,-61.11555553488599,8760,1.6488012448172626,3.0153347505027446,-0.6851098024208817,0.8173483928021582,29544.938130793074,35546.5,-6001.561869206926,-16.883692822660247
DEBW_52210005fBS,DEBW_52210005fBS,exact,3235.4233448183595,9385.0,-6149.5766551816405,-65.52559035888802,8760,1.3625431522204365,2.5621483977211366,-0.7305032250126613,0.8216179139506984,24632.591748889085,31031.799999999996,-6399.208251110911,-20.621453641461056
DEBW_52210005fRL,DEBW_52210005fRL,exact,1677.6729488305966,5715.0,-4037.3270511694036,-70.64439284635877,8760,1.0049075704955028,1.7839961573322358,-0.28855630501411833,0.8411035216459124,20091.246768076322,22619.0,-2527.753231923678,-11.175353605038586
DEBW_52210005fRo,DEBW_52210005fRo,exact,3180.6639452598206,7652.0,-4471.336054740179,-58.43356056900391,8760,1.3051783712447145,2.3980055763940733,-0.5771564205040861,0.8123397899132738,22824.009756384203,27879.9,-5055.890243615799,-18.134535072277156
DEBW_52210005fiS,DEBW_52210005fiS,exact,1620.3255316305313,5865.0,-4244.674468369469,-72.37296621260816,8760,0.9578107011136323,1.7328723687378869,-0.3523505447948816,0.8375684963558351,18894.409227596836,21981.0,-3086.590772403164,-14.042085311874638
DEBW_52210005g5H,DEBW_52210005g5H,exact,895.1384662252545,3150.0,-2254.8615337747456,-71.5829058341189,8760,0.3876069454322913,0.7024647154687035,-0.14241165524593358,0.8488679688892081,7940.973900045621,9188.5,-1247.5260999543789,-13.577037600853012
DEBW_52210005gBZ,DEBW_52210005gBZ,exact,2364.76684873061,7614.0,-5249.23315126939,-68.94185909205923,8760,1.1315569172513396,1.99562037250369,-0.29422022927943164,0.8409185797075047,22300.23079151218,24877.600000000002,-2577.369208487824,-10.360200374987233
DEBW_52210005gOD,DEBW_52210005gOD,exact,3558.9412415160905,10913.0,-7354.0587584839095,-67.3880578986888,8760,1.6172521503269204,2.995826036122401,-0.8192296062267987,0.8344730123287328,30680.34864945324,37856.799999999996,-7176.451350546755,-18.95683562938958
DEBW_52210005gvh,DEBW_52210005gvh,exact,2125.9636962193117,6827.0,-4701.036303780688,-68.85947420214865,8760,1.2493622187412268,2.304909252312257,-0.5400064828217734,0.8192387695863126,23034.143210481263,27764.6,-4730.456789518736,-17.037727140022678
DEBW_52210005gwl,DEBW_52210005gwl,exact,1181.2915854179332,2429.0,-1247.7084145820668,-51.367164042077675,8760,0.3208119578726963,0.5602120533693059,-0.12561933756533242,0.8724735200220158,6803.674602927688,7904.0999999999985,-1100.4253970723103,-13.922209955242348
DEBW_52210005gxN,DEBW_52210005gxN,exact,2287.7188756946275,7306.0,-5018.281124305373,-68.68712187661338,8760,0.7890890759927123,1.371807705430228,-0.1002044810465659,0.8243947335460633,14293.708746032084,15171.5,-877.7912539679164,-5.7857908180991755
DEBW_52210005hG5,DEBW_52210005hG5,exact,2280.4418618881937,8516.0,-6235.558138111806,-73.22167846538053,8760,1.302165575229032,2.3248152158282447,-0.3374138856967004,0.8190475740399854,23943.654361296904,26899.4,-2955.745638703098,-10.988147091396455
DEBW_52210005hJf,DEBW_52210005hJf,exact,2273.6036869068425,8464.0,-6190.396313093157,-73.1379526594182,8760,1.0051103208617993,1.736966939421315,-0.129611527213416,0.8669471794445829,22180.603021610477,23316.0,-1135.3969783895227,-4.869604470704764
DEBW_52210005jPg,DEBW_52210005jPg,exact,2931.376009224497,10421.0,-7489.6239907755025,-71.87049218669516,8760,1.4715358240890823,2.6512546219930995,-0.5035465002657792,0.8378530878868706,28868.73265767177,33279.799999999996,-4411.067342328224,-13.25448873589452
DEBW_52210005k39,DEBW_52210005k39,exact,4506.653003937637,11260.0,-6753.346996062363,-59.97643868616663,8760,1.8977548486895564,3.621931311694474,-1.2187775763900859,0.812928169999379,32416.008430822847,43092.50000000001,-10676.49156917716,-24.775753481875405
