GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total shared wall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Domestic hot water demand;Specific space heating demand;Yearly Heating demand;Total Yearly Heating + DHW demand;January Heating demand;February Heating demand;March Heating demand;April Heating demand;May Heating demand;June Heating demand;July Heating demand;August Heating demand;September Heating demand;October Heating demand;November Heating demand;December Heating demand;Specific space Cooling demand;Yearly Cooling demand;January Cooling demand;February Cooling demand;March Cooling demand;April Cooling demand;May Cooling demand;June Cooling demand;July Cooling demand;August Cooling demand;September Cooling demand;October Cooling demand;November Cooling demand;December Cooling demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/a];[kWh/(m²·a)];[kWh/a];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBW_52210003qwF;;48,77348;9,20708;515215,14;5402296,11;LOD_2;1980;;Original;31001_1010;residential;260,9;none;0,0;MFH;92,9;243,3;0,0;272,7;67,0;123,1;908,2;false;815,3;11,6;7,81;4;2,7;2;3;HEATED;NOT_HEATED;1,0;0,538;260,9;0,96;15,8;4132,0;98,9;25804;29936;5800;4616;3151;1146;217;1;0;0;122;1497;3839;5415;25,3;6591;1;4;32;166;519;1588;2234;1526;463;53;5;1
DEBW_52210003tQY;;48,77173;9,21078;515487,61;5402102,40;LOD_2;1980;;Original;31001_1010;residential;449,8;none;0,0;MFH;141,1;315,7;0,0;330,2;80,0;197,3;1458,5;false;1405,5;12,9;8,42;5;2,5;3;6;HEATED;NOT_HEATED;0,4;0,458;449,8;0,94;15,8;7124,0;85,7;38539;45663;8591;6867;4757;1744;320;2;0;0;197;2296;5731;8034;21,5;9656;1;4;30;193;715;2415;3376;2254;605;57;4;1
DEBW_52210003qzL;;48,77360;9,20736;515235,29;5402309,13;LOD_2;1980;;Original;31001_2463;garage;48,0;none;0,0;RH;26,7;49,1;0,0;49,1;53,9;26,7;132,9;false;132,9;5,0;4,98;2;2,5;0;0;NO_ROOM;NO_ROOM;0,0;0,771;48,0;0,92;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003rDK;;48,77436;9,20454;515028,33;5402392,79;LOD_2;1980;;Original;31001_2463;garage;70,9;none;0,0;EFH;88,6;103,4;0,0;103,4;5,1;88,6;221,7;false;221,7;2,5;2,50;1;2,5;0;0;NOT_HEATED;NO_ROOM;0,0;1,266;70,9;0,72;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003rIo;;48,77358;9,20398;514987,04;5402305,86;LOD_2;1980;;Original;31001_1010;residential;166,8;none;0,0;RH;68,5;163,8;0,0;176,7;54,5;107,2;563,5;false;521,1;10,6;5,58;4;2,5;2;3;HEATED;NOT_HEATED;0,6;0,625;166,8;1,02;15,8;2641,0;111,7;18631;21272;4313;3382;2180;703;108;0;0;0;68;1011;2829;4038;40,6;6763;2;6;47;228;660;1694;2160;1425;472;62;6;2
DEBW_52210003rFb;;48,77189;9,21267;515626,01;5402120,58;LOD_2;1980;;Original;31001_1010;residential;530,3;none;0,0;MFH;114,0;316,7;0,0;331,6;34,3;173,8;1698,7;true;1657,2;12,9;6,03;5;2,5;4;5;HEATED;NOT_HEATED;0,4;0,365;530,3;0,96;15,8;8400,0;72,3;38354;46754;8582;6855;4740;1729;306;2;0;0;182;2248;5701;8009;18,8;9989;1;3;24;169;696;2491;3501;2413;635;53;3;1
DEBW_52210003rKP;;48,77354;9,20406;514992,67;5402301,78;LOD_2;1980;;Original;31001_1010;residential;17,3;none;0,0;RH;9,6;43,2;0,0;43,2;24,1;9,6;47,9;false;46,2;5,2;4,81;2;2,4;1;1;NOT_HEATED;NO_ROOM;0,0;1,302;17,3;1,11;15,9;275,0;175,4;3042;3317;725;563;349;104;12;0;0;0;5;144;462;678;77,7;1348;1;3;18;67;150;326;397;263;101;19;3;1
DEBW_52210003rXR;;48,77265;9,21090;515495,94;5402203,90;LOD_2;1980;;Original;31001_2463;garage;32,4;none;0,0;RH;17,4;56,2;0,0;56,2;22,5;18,4;81,9;false;72,9;5,2;4,13;2;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;1,123;32,4;1,04;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003rdZ;;48,77287;9,20742;515240,06;5402227,74;LOD_2;1980;;Original;31001_2463;garage;12,4;none;0,0;RH;15,4;29,9;0,0;36,6;17,8;15,5;51,1;false;38,6;3,5;3,12;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,6;1,320;12,4;0,94;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003rgE;;48,77262;9,21082;515489,91;5402200,98;LOD_2;1980;;Original;31001_1010;residential;117,3;none;0,0;EFH;60,3;136,7;0,0;160,6;30,4;86,3;426,7;false;366,4;8,8;5,16;3;2,6;1;2;HEATED;NOT_HEATED;1,0;0,720;117,3;0,91;15,8;1857,0;118,4;13879;15736;3136;2491;1684;602;110;0;0;0;61;794;2070;2931;30,2;3545;1;3;22;105;298;855;1185;797;244;31;3;1
