Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210003uuj;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003uuj
DEBW_52210004FYP;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FYP
DEBW_522100060yl;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060yl
DEBW_52210004ygI;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004ygI
DEBW_52210006HzN;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006HzN
DEBW_52210003sJH;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003sJH
DEBW_52210003xWs;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003xWs
DEBW_522100060Mq;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060Mq
DEBW_52210006Hx8;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210006Hx8
DEBW_52210004FeC;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FeC
DEBW_52210004cSr;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004cSr
DEBW_52210006JRs;UsageZoneName [name=leisure and recreation];UsageZoneName [name=garden house];No other usages;0,30;DEBW_52210006JRs
DEBW_52210003rwQ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003rwQ
DEBW_52210006HoP;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006HoP
DEBW_52210005y1r;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210005y1r
DEBW_52210006MZJ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006MZJ
DEBW_522100060GB;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060GB
DEBW_522100061M1;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100061M1
DEBW_52210004dCH;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004dCH
DEBW_52210004Iq5;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004Iq5
DEBW_52210004d07;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210004d07
DEBW_52210003xXe;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210003xXe
DEBW_52210004FSz;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FSz
DEBW_52210005LZh;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210005LZh
DEBW_52210004dvj;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004dvj
DEBW_522100061D1;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100061D1
DEBW_52210005ydi;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005ydi
DEBW_52210004zV8;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004zV8
DEBW_52210004cEz;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004cEz
DEBW_52210004H8O;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004H8O
DEBW_52210005dir;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210005dir
DEBW_52210005MB5;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005MB5
DEBW_52210005MTP;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005MTP
DEBW_52210004zFJ;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210004zFJ
DEBW_52210006I2P;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210006I2P
DEBW_52210004GwY;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004GwY
DEBW_52210005gII;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005gII
DEBW_52210004xpD;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004xpD
DEBW_5221000518C;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_5221000518C
DEBW_52210006IWU;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006IWU
DEBW_52210004xqq;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210004xqq
DEBW_52210005dmE;UsageZoneName [name=garden house];UsageZoneName [name=leisure and recreation];No other usages;0,30;DEBW_52210005dmE
DEBW_52210004dFS;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004dFS
DEBW_522100050A3;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_522100050A3
DEBW_52210004KwN;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210004KwN
DEBW_52210004xqb;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210004xqb
DEBW_52210005zEA;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005zEA
DEBW_52210005xgH;UsageZoneName [name=residential];UsageZoneName [name=commercial];No other usages;0,48;DEBW_52210005xgH
DEBW_52210004evV;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210004evV
DEBW_52210006KHx;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210006KHx
DEBW_52210005Jqz;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210005Jqz
DEBW_52210004Ihn;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210004Ihn
DEBW_52210005L4M;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005L4M
DEBW_52210005MLw;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005MLw
DEBW_522100060Xq;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_522100060Xq
DEBW_52210006Iun;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210006Iun
DEBW_52210005MTF;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005MTF
DEBW_52210005fnv;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005fnv
DEBW_52210006I25;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210006I25
DEBW_52210005xLD;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210005xLD
DEBW_52210005zVx;UsageZoneName [name=stable];No usage;No other usages;0,30;DEBW_52210005zVx
DEBW_52210005KWM;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005KWM
DEBW_52210004FpB;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FpB
DEBW_52210004H1y;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004H1y
DEBW_52210005z2g;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005z2g
DEBW_52210005fzd;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005fzd
DEBW_52210004G9h;UsageZoneName [name=transducer, converter];No usage;No other usages;0,47;DEBW_52210004G9h
DEBW_52210004GuN;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004GuN
DEBW_52210006Isp;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210006Isp
DEBW_52210004hn6;UsageZoneName [name=energy supply building];No usage;No other usages;0,47;DEBW_52210004hn6
DEBW_52210004HcC;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210004HcC
DEBW_52210004zaT;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004zaT
DEBW_52210005kNW;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005kNW
DEBW_52210003qta;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210003qta
DEBW_52210005Maf;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005Maf
DEBW_52210004zE4;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210004zE4
DEBW_52210003rdZ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003rdZ
DEBW_52210006NQX;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210006NQX
DEBW_52210004Hls;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210004Hls
DEBW_52210006IZ8;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006IZ8
DEBW_52210006J1X;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210006J1X
DEBW_52210005y3C;UsageZoneName [name=garden house];UsageZoneName [name=leisure and recreation];No other usages;0,30;DEBW_52210005y3C
DEBW_52210004z8O;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004z8O
DEBW_5221000647b;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_5221000647b
DEBW_52210003rKP;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210003rKP
DEBW_52210006I3B;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210006I3B
DEBW_52210006MeB;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006MeB
DEBW_52210006InL;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210006InL
DEBW_52210006JwL;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006JwL
DEBW_52210006Ims;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006Ims
DEBW_52210006NMW;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210006NMW
DEBW_52210006Iok;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210006Iok
DEBW_52210006NDa;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006NDa
DEBW_52210005JAJ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005JAJ
DEBW_5221000507n;UsageZoneName [name=residential];UsageZoneName [name=commercial];No other usages;0,50;DEBW_5221000507n
DEBW_52210006NG6;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006NG6
DEBW_522100060ZI;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060ZI
DEBW_52210005LpL;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005LpL
DEBW_52210006Ibs;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210006Ibs
DEBW_52210005xix;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210005xix
DEBW_52210004Hw4;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004Hw4
DEBW_52210003u94;UsageZoneName [name=water tank];No usage;No other usages;0,48;DEBW_52210003u94
DEBW_52210004bgQ;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210004bgQ
DEBW_52210006NNm;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210006NNm
DEBW_52210005JJw;UsageZoneName [name=leisure and recreation];UsageZoneName [name=garden house];No other usages;0,30;DEBW_52210005JJw
DEBW_52210006IeR;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210006IeR
DEBW_522100060PQ;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_522100060PQ
DEBW_52210004enR;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004enR
DEBW_52210006Krt;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210006Krt
DEBW_52210005IxF;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210005IxF
DEBW_52210005dkk;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210005dkk
DEBW_52210004dQ2;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210004dQ2
DEBW_52210003ty5;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210003ty5
DEBW_52210005J0U;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005J0U
