Surface ID;Building ID;Surface Type;Surface Construction Type;Window Ratio;Wall area (without window);Window area;Wall U-Value (without window);Window Construction Type;Window U-Value;Building Parent ID
UUID_15b31087-4538-4b84-a42b-9db486e07da5;DEBW_52210006IWU;WALL;199;0,27;17,91;6,62;0,83;;2,57;DEBW_52210006IWU
UUID_249c634d-79dd-4521-b60c-97b88381b26d;DEBW_52210005fyk;WALL;199;0,14;20,68;3,37;0,83;;2,57;DEBW_52210005fyk
UUID_f77d38ea-ec44-4b20-8892-2e1a7c7d3da1;DEBW_52210005fyk;WALL;199;0,14;13,17;2,14;0,83;;2,57;DEBW_52210005fyk
UUID_bc704dfe-ba6a-4568-bb9a-98f77f393856;DEBW_52210005fyk;WALL;199;0,14;19,79;3,22;0,83;;2,57;DEBW_52210005fyk
UUID_92a63bce-d1b6-48ab-8142-c470c893d27f;DEBW_52210005fyk;WALL;199;0,14;26,86;4,37;0,83;;2,57;DEBW_52210005fyk
UUID_1d9a870d-5ff4-4d11-9abd-fb7f6e5641ad;DEBW_52210005fyk;WALL;199;0,14;3,20;0,52;0,83;;2,57;DEBW_52210005fyk
UUID_3cca460b-6408-4aff-94f1-81232d8a4a85;DEBW_52210005fyk;ROOF;226;0,10;21,73;2,41;0,43;;2,57;DEBW_52210005fyk
UUID_cdae0fc8-3121-4774-a1cf-d31befcaf8d3;DEBW_52210005fyk;GROUND;150;0,00;23,91;0,00;0,62;;;DEBW_52210005fyk
UUID_c18f90ab-fdb0-4662-baa6-89303b51c4d1;DEBW_52210006Isp;WALL;199;0,18;19,99;4,39;0,83;;2,57;DEBW_52210006Isp
UUID_140ffca9-eb57-42ab-a117-c8ba4c52e67b;DEBW_52210006Isp;WALL;199;0,18;1,49;0,33;0,83;;2,57;DEBW_52210006Isp
UUID_485a19a7-0c95-45db-860f-b44d2433273c;DEBW_52210006Isp;ROOF;226;0,10;54,36;6,04;0,43;;2,57;DEBW_52210006Isp
UUID_7ce9fff8-e163-41b1-a815-a8817fb52d6b;DEBW_52210006Isp;WALL;199;0,18;34,25;7,52;0,83;;2,57;DEBW_52210006Isp
UUID_0e03aca2-ddf2-4d2a-bc0f-d4f2fa217528;DEBW_52210006Isp;ROOF;226;0,10;49,06;5,45;0,43;;2,57;DEBW_52210006Isp
UUID_dedb5e48-8c6a-4b20-bae5-e12c4939c2a4;DEBW_52210006Isp;WALL;199;0,18;2,30;0,50;0,83;;2,57;DEBW_52210006Isp
UUID_3e820d57-6ab3-490f-9eb5-3c7f4705f168;DEBW_52210006Isp;WALL;199;0,18;6,66;1,46;0,83;;2,57;DEBW_52210006Isp
UUID_acba16a0-2d65-4679-86e2-febe09b436fd;DEBW_52210006Isp;WALL;199;0,18;31,97;7,02;0,83;;2,57;DEBW_52210006Isp
UUID_9d2ffd6e-4b02-49a0-b346-13c792e0d1b6;DEBW_52210006Isp;WALL;199;0,18;4,89;1,07;0,83;;2,57;DEBW_52210006Isp
UUID_9092eda5-804a-465a-af64-13f3829bd974;DEBW_52210006Isp;WALL;199;0,18;1,82;0,40;0,83;;2,57;DEBW_52210006Isp
UUID_2e88d2f4-910e-43f2-9236-14f2a5491c48;DEBW_52210006Isp;WALL;199;0,18;0,83;0,18;0,83;;2,57;DEBW_52210006Isp
UUID_326f937f-1fc9-414a-8dfc-d2cfa65e9434;DEBW_52210006Isp;WALL;199;0,18;2,20;0,48;0,83;;2,57;DEBW_52210006Isp
UUID_49b4ea41-d59d-407e-b42d-6aa7eaad9c06;DEBW_52210006Isp;WALL;199;0,18;31,86;6,99;0,83;;2,57;DEBW_52210006Isp
UUID_41649a30-2fdf-407e-91bb-6cebd227f2c4;DEBW_52210006Isp;WALL;199;0,18;9,76;2,14;0,83;;2,57;DEBW_52210006Isp
UUID_2fb2f321-662c-4f0e-9cca-d108c095ddcf;DEBW_52210006Isp;WALL;199;0,18;32,07;7,04;0,83;;2,57;DEBW_52210006Isp
UUID_ddb9e425-d216-4080-80d8-58550433eb1d;DEBW_52210006Isp;WALL;199;0,18;1,38;0,30;0,83;;2,57;DEBW_52210006Isp
UUID_e39f80e5-3231-415f-a042-dde2fa16bf49;DEBW_52210006Isp;WALL;199;0,18;4,08;0,90;0,83;;2,57;DEBW_52210006Isp
UUID_356f9780-ea94-4f7a-a984-614f74058452;DEBW_52210006Isp;ROOF;226;0,10;7,74;0,86;0,43;;2,57;DEBW_52210006Isp
UUID_2b71e253-fc9c-41d5-adc3-e389272ccf9c;DEBW_52210006Isp;WALL;199;0,18;9,84;2,16;0,83;;2,57;DEBW_52210006Isp
UUID_d9c1486b-203f-4938-91a6-12c22a19c5e4;DEBW_52210006Isp;WALL;199;0,18;2,33;0,51;0,83;;2,57;DEBW_52210006Isp
UUID_bec95aba-c9e9-4939-be95-f6eb735816fb;DEBW_52210006Isp;WALL;199;0,18;50,72;11,13;0,83;;2,57;DEBW_52210006Isp
UUID_465705ef-2255-4989-af40-7febf581cbc8;DEBW_52210006Isp;GROUND;150;0,00;79,03;0,00;0,62;;;DEBW_52210006Isp
UUID_8e672246-37e0-4b8d-9d89-ff0760bc92b0;DEBW_52210006Isp;WALL;199;0,18;13,57;2,98;0,83;;2,57;DEBW_52210006Isp
UUID_bf18dcca-5a9b-4922-9074-a16339cf76c2;DEBW_52210006Isp;WALL;199;0,18;1,41;0,31;0,83;;2,57;DEBW_52210006Isp
UUID_6fbc6837-a292-4c64-b1a5-b7aaef373b65;DEBW_52210006Isp;GROUND;150;0,00;7,73;0,00;0,62;;;DEBW_52210006Isp
UUID_7b26a1fe-d1f2-4615-a42f-89bb8f121f5b;DEBW_52210004dGw;GROUND;150;0,00;102,28;0,00;0,62;;;DEBW_52210004dGw
UUID_6d55194f-9962-488c-9877-645a7f660cba;DEBW_52210004dGw;WALL;199;0,18;22,85;5,02;0,83;;2,57;DEBW_52210004dGw
UUID_7830049e-5845-4eb8-bb47-1e492008c829;DEBW_52210004dGw;WALL;199;0,18;40,85;8,97;0,83;;2,57;DEBW_52210004dGw
UUID_4d01cd32-5ba2-4f23-a65e-05c1d9f23b30;DEBW_52210004dGw;WALL;199;0,18;4,55;1,00;0,83;;2,57;DEBW_52210004dGw
UUID_236c1e6f-37da-4de7-801d-ee03e7bc523e;DEBW_52210004dGw;WALL;199;0,18;9,02;1,98;0,83;;2,57;DEBW_52210004dGw
UUID_46db8e07-6b21-4897-a333-0f6cc2e39517;DEBW_52210004dGw;WALL;199;0,18;32,15;7,06;0,83;;2,57;DEBW_52210004dGw
UUID_51a44c9f-c842-46fc-b1f5-3cda45d98efa;DEBW_52210004dGw;WALL;199;0,18;42,23;9,27;0,83;;2,57;DEBW_52210004dGw
UUID_a72ebba7-0ab9-4ae5-8251-3a1931dd9773;DEBW_52210004dGw;ROOF;226;0,10;69,80;7,76;0,43;;2,57;DEBW_52210004dGw
UUID_3228bdd3-a384-4052-890d-98351f5e4fe6;DEBW_52210004dGw;WALL;199;0,18;54,76;12,02;0,83;;2,57;DEBW_52210004dGw
UUID_889548c7-4ea2-4048-acc6-05d825e10a65;DEBW_52210004dGw;WALL;199;0,18;0,43;0,09;0,83;;2,57;DEBW_52210004dGw
UUID_23de3696-b501-4151-a70e-20bd5b38eb4c;DEBW_52210004dGw;WALL;199;0,18;30,69;6,74;0,83;;2,57;DEBW_52210004dGw
UUID_f515b5ed-beb9-41dd-a28d-8470ad8093d1;DEBW_52210004dGw;WALL;199;0,18;24,77;5,44;0,83;;2,57;DEBW_52210004dGw
UUID_23d008fd-ee21-4d0e-ab7e-a6977701f401;DEBW_52210004dGw;ROOF;226;0,10;72,52;8,06;0,43;;2,57;DEBW_52210004dGw
UUID_85bf68a9-b697-4736-9775-ea432cb4fc8a;DEBW_52210004dGw;WALL;199;0,18;8,52;1,87;0,83;;2,57;DEBW_52210004dGw
UUID_3bf846cc-ef76-4e45-bad4-d46ffe51ae79;DEBW_52210005zmV;WALL;199;0,14;9,93;1,62;0,83;;2,57;DEBW_52210005zmV
