hour,trnsys_heating_demand_kwh_h,trnsys_cooling_demand_kwh_h
4919,0.0,0.6031905807505245
4920,0.0,0.3416281261937466
4921,0.0,0.2017538460027572
4922,0.0,0.0973850122089222
4923,0.0,0.0245972259865892
4924,0.0,0.0
4925,0.0,0.0
4926,0.0,0.0
4927,0.0,0.1020359587643745
4928,0.0,0.870028066974911
4929,0.0,1.1849524366466195
4930,0.0,1.1079254168294572
4931,0.0,1.091330543906507
4932,0.0,1.8539816754305665
4933,0.0,1.3822962022058993
4934,0.0,1.4907947942634037
4935,0.0,1.323257158948917
4936,0.0,1.3488870211046338
4937,0.0,1.5665277674243245
4938,0.0,4.671483179827402
4939,0.0,3.6619036431005947
4940,0.0,1.4616001324028425
4941,0.0,0.445401503110568
4942,0.0,0.1292658324136977
4943,0.0,0.0
4944,0.0,0.0
4945,0.0,0.0
4946,0.0,0.0
4947,0.0,0.0
4948,0.0,0.0
4949,0.0,0.0
4950,0.0,0.332475835694794
4951,0.0,0.3017525939941535
4952,0.0,1.165209725682685
4953,0.0,2.431086411463208
4954,0.0,2.2151924376205794
4955,0.0,2.199042609330249
4956,0.0,2.4386777370897392
4957,0.0,1.8727016154845881
4958,0.0,1.8958642958355547
4959,0.0,1.8150482773718974
4960,0.0,1.8287887935401361
4961,0.0,1.5426871520801473
4962,0.0,2.641662388916593
4963,0.0,1.1905839646704568
4964,0.0,0.6405155538059625
4965,0.0,0.2701576046413538
4966,0.0,0.0771286290354813
4967,0.0,0.0
4968,0.0,0.0
4969,0.0,0.0
4970,0.0,0.0
4971,0.0,0.0
4972,0.0,0.0
4973,0.0,0.0
4974,0.0,0.0
4975,0.0,0.0
4976,0.0,0.0
4977,0.0,0.0
4978,0.0,0.1463791235085389
4979,0.0,0.3890230097340827
4980,0.0,1.5387844283784942
4981,0.0,1.5680074572542313
4982,0.0,2.07512693546946
4983,0.0,2.611439447071664
4984,0.0,2.7653557787947403
4985,0.0,3.811207092725753
4986,0.0,3.741513704267684
4987,0.0,5.227420463693601
4988,0.0,4.010373441817008
4989,0.0,0.976126804604929
4990,0.0,0.4461981866964358
4991,0.0,0.1673792734723166
4992,0.0,0.0072703654293824
4993,0.0,0.0
4994,0.0,0.0
4995,0.0,0.0
4996,0.0,0.0
4997,0.0,0.0
4998,0.0,0.5813790903166308
4999,0.0,1.1349371866219815
5000,0.0,1.9325182337044842
5001,0.0,3.044672432111951
5002,0.0,4.338249413254129
5003,0.0,4.248650333721032
5004,0.0,4.213844874073281
5005,0.0,3.8378744939694296
5006,0.0,3.938511565947863
5007,0.0,6.646971228774911
5008,0.0,7.098401009607987
5009,0.0,8.582563131405946
5010,0.0,9.101263213081547
5011,0.0,7.346789387987949
5012,0.0,5.8158426431963175
5013,0.0,3.1008169836901
5014,0.0,1.7885558025492438
5015,0.0,0.8250836444783716
5016,0.0,0.4874353680443892
5017,0.0,0.3145347525907547
5018,0.0,0.1764078615097646
5019,0.0,0.0682735936068962
5020,0.0,0.0
5021,0.0,0.0
5022,0.0,0.9180772486025024
5023,0.0,2.178905688009472
5024,0.0,3.452900421607798
5025,0.0,4.117341028048597
5026,0.0,5.881031097428397
5027,0.0,6.477703571672464
5028,0.0,6.725350195550256
5029,0.0,7.215658668039799
5030,0.0,8.84727222439233
5031,0.0,9.881832668366624
5032,0.0,11.321906297398616
5033,0.0,11.885702201163069
5034,0.0,11.703087237779213
5035,0.0,10.682448108358424
5036,0.0,9.934491479242245
5037,0.0,5.886429311788637
5038,0.0,4.200724849247134
5039,0.0,3.1518320812191005
5040,0.0,2.3086532418950974
5041,0.0,1.5964721410123295
5042,0.0,0.9252624681630953
5043,0.0,0.5472109694364997
5044,0.0,0.3504978191504617
5045,0.0,0.2049571901489172
5046,0.0,2.083463052063299
5047,0.0,3.5598280696546545
5048,0.0,5.104840005711877
5049,0.0,6.886437269548372
5050,0.0,8.190577024186018
5051,0.0,9.961827039078699
5052,0.0,10.347860871803883
5053,0.0,10.715568732196708
5054,0.0,11.409117393859043
5055,0.0,11.855353344227568
5056,0.0,14.214603654141449
5057,0.0,15.105169930196224
5058,0.0,15.385878592723165
5059,0.0,11.546989308299136
5060,0.0,9.510088702303351
5061,0.0,7.894861322526889
5062,0.0,6.653449577781276
5063,0.0,5.485363936847927
5064,0.0,4.380112402123017
5065,0.0,3.3355829593106643
5066,0.0,2.3738687876392457
5067,0.0,1.7333537001820514
5068,0.0,1.1985171302059947
5069,0.0,0.7016001279141103
5070,0.0,3.344568440519902
5071,0.0,5.2224456656085385
5072,0.0,6.807981762200021
5073,0.0,8.794769762939234
5074,0.0,10.349638043074503
5075,0.0,12.949663539725831
5076,0.0,13.298312902159644
5077,0.0,13.99613922716002
5078,0.0,15.539611817040658
5079,0.0,17.16219184510836
5080,0.0,16.763211814888372
5081,0.0,17.353680742818735
5082,0.0,17.737241208296304
5083,0.0,17.565018167245764
