hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
8015,898.2228463414131,742.5999999999996,155.6228463414135
8016,936.9633376069758,750.9999999999997,185.9633376069761
8017,906.6221509148572,879.4999999999999,27.122150914857343
8018,923.0176238954692,885.9000000000007,37.11762389546857
8019,949.0204284512358,903.1000000000003,45.92042845123558
8020,947.426254267464,891.7000000000004,55.72625426746356
8021,971.8747026376316,910.2,61.674702637631526
8022,1018.7264072259644,950.7000000000004,68.02640722596402
8023,1053.921206818461,977.0,76.92120681846109
8024,1053.9341808389438,968.9000000000001,85.03418083894371
8025,1081.0191403697247,988.4999999999999,92.51914036972482
8026,1025.2931104239042,949.0000000000005,76.29311042390373
8027,964.0934673841824,931.6999999999999,32.393467384182486
8028,901.7899328028258,926.4,-24.610067197174203
8029,844.9561161751907,902.8000000000002,-57.843883824809495
8030,798.7513414700567,885.9000000000007,-87.14865852994399
8031,799.3736879688595,877.4999999999998,-78.12631203114029
8032,771.0578985317275,853.3,-82.2421014682725
8033,797.7747518973722,858.1999999999996,-60.42524810262739
8034,827.5176404638872,859.5999999999995,-32.08235953611222
8035,856.0147866360209,864.6999999999995,-8.685213363978619
8036,890.5704921387103,881.0000000000001,9.570492138710165
8037,952.1226388689512,927.3999999999999,24.72263886895132
8038,1002.7334644204014,962.1,40.633464420401424
8039,1026.1177672375798,969.1000000000001,57.01776723757962
8040,1030.087638339904,960.0000000000002,70.08763833990383
8041,1047.5045800936243,968.7000000000002,78.80458009362417
8042,1046.5250188756506,958.6000000000003,87.92501887565038
8043,1025.284759814655,932.7000000000002,92.58475981465483
8044,1020.7217946353642,925.9,94.8217946353642
8045,1005.1722400420527,909.8,95.3722400420528
8046,1013.9510832474068,920.2,93.75108324740677
8047,989.4988494177832,895.8000000000004,93.69884941778275
8048,982.7273732102605,891.3000000000004,91.42737321026004
8049,984.2721849054216,895.3000000000005,88.97218490542105
8050,975.4824692657758,907.9999999999999,67.48246926577588
8051,923.4560549594814,873.0999999999995,50.35605495948198
8052,866.3048090495091,848.3000000000003,18.00480904950882
8053,774.2935270111476,816.5999999999998,-42.30647298885219
8054,719.6318899745928,811.0999999999999,-91.4681100254071
8055,682.1497375650914,791.5,-109.35026243490859
8056,698.1643746723806,798.4000000000005,-100.23562532761991
8057,700.2803578674992,778.5999999999999,-78.31964213250069
8058,718.4653265490665,772.9,-54.434673450933474
8059,741.517589329361,775.8,-34.28241067063891
8060,778.2358169398137,798.3000000000005,-20.064183060186792
8061,782.4811090826105,787.9,-5.41889091738949
8062,793.3497728950805,788.8,4.549772895080537
8063,815.6969265623098,804.2000000000006,11.496926562309227
8064,823.0477534087833,804.2000000000006,18.847753408782637
8065,810.0318346670695,784.9999999999998,25.03183466706969
8066,809.7198167168598,782.4999999999999,27.219816716859896
8067,803.9138481782787,774.4999999999999,29.41384817827884
8068,811.3746608104682,781.9999999999998,29.374660810468413
8069,811.3006657492404,781.0999999999998,30.200665749240557
8070,810.4711145800385,779.5999999999999,30.87111458003858
8071,788.7095309079715,757.5,31.209530907971498
8072,792.5595053547321,763.3999999999999,29.159505354732232
