hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1312,1305.201944036843,1439.9000000000008,-134.69805596315769
1313,1295.5083393203683,1512.6,-217.09166067963156
1314,1349.2147992957318,1622.7000000000003,-273.48520070426844
1315,1429.979457363708,1729.9999999999995,-300.02054263629157
1316,1475.032309603765,1780.6999999999996,-305.66769039623455
1317,1517.7144354510856,1823.4000000000015,-305.68556454891586
1318,1548.336823975889,1840.1000000000006,-291.76317602411154
1319,1588.028633225594,1877.3000000000002,-289.27136677440626
1320,1591.721705848605,1836.2000000000014,-244.4782941513963
1321,0.0,1435.3,-1435.3
1322,0.273919198854528,1468.6999999999998,-1468.4260808011452
1323,3.379545262529127,1510.1999999999998,-1506.8204547374708
1324,12.812795313948206,1459.1,-1446.2872046860516
1325,35.64180494501307,1501.0,-1465.358195054987
1326,75.49668052315988,1481.2999999999995,-1405.8033194768395
1327,116.29341550867808,1406.2999999999995,-1290.0065844913215
1328,2380.240502002029,1724.6999999999994,655.5405020020298
1329,2283.2450514664465,1712.5000000000002,570.7450514664463
1330,2169.4040783810915,1635.9,533.5040783810914
1331,1945.9288849752988,1460.9000000000003,485.0288849752985
1332,1712.0934967382016,1279.3999999999987,432.69349673820284
1333,1520.3211117061808,1176.6000000000001,343.72111170618064
1334,1290.149896113045,1024.1,266.0498961130452
1335,1172.4532423833352,1002.0000000000003,170.4532423833349
1336,1104.8033910768625,1091.8,13.0033910768625
1337,1042.5590865322476,1070.1000000000001,-27.54091346775249
1338,1058.7096707364797,1168.2999999999997,-109.59032926352006
1339,1126.9191690472082,1282.3999999999992,-155.48083095279094
1340,1157.2630675713613,1338.400000000001,-181.13693242863974
1341,1159.3993640998738,1327.1000000000008,-167.70063590012705
1342,1170.3646380301386,1336.400000000001,-166.03536196986238
1343,1185.7325160068665,1357.7000000000003,-171.96748399313378
1344,1196.8545545045952,1366.6000000000001,-169.74544549540497
1345,0.0,981.1000000000001,-981.1000000000001
1346,0.0,1051.6999999999998,-1051.6999999999998
1347,0.0,1139.5000000000002,-1139.5000000000002
1348,0.0,1151.9999999999993,-1151.9999999999993
1349,0.2566122988671185,1144.0000000000002,-1143.743387701133
1350,0.8464678918712277,1141.6000000000004,-1140.753532108129
1351,4.686139311706464,1173.4999999999998,-1168.8138606882933
1352,1979.477891660733,1620.9,358.5778916607328
1353,1906.6297307142115,1615.0000000000007,291.62973071421084
1354,1771.938961965545,1528.600000000001,243.33896196554406
1355,1646.5315414802765,1471.1999999999998,175.33154148027666
1356,1510.4238281782143,1403.3999999999994,107.0238281782149
1357,1333.18366897815,1332.8000000000009,0.38366897814921685
1358,1215.5797757461492,1367.3000000000002,-151.72022425385103
1359,1102.0946239026275,1327.4000000000008,-225.30537609737326
1360,1082.02530769112,1375.9999999999998,-293.97469230887987
1361,1078.0965982620464,1437.0,-358.9034017379536
1362,1134.6786701099786,1548.3000000000004,-413.6213298900218
1363,1252.7636362541264,1709.0000000000005,-456.2363637458741
1364,1349.1614685271095,1843.5999999999997,-494.4385314728902
1365,1423.715416916222,1920.8000000000009,-497.08458308377885
1366,1469.3440893297516,1932.6000000000004,-463.2559106702488
1367,1577.0257821230753,2086.200000000001,-509.1742178769259
1368,1624.9559469661926,2096.900000000002,-471.94405303380927
1369,0.0328489073875181,1772.2999999999988,-1772.2671510926114
1370,3.028273146434217,1856.0999999999985,-1853.0717268535643
1371,15.0683749019637,1777.1999999999994,-1762.1316250980356
1372,48.9012637275824,1809.8000000000009,-1760.8987362724185
1373,123.98564036197412,1838.9000000000003,-1714.914359638026
1374,203.4788765432781,1782.8000000000006,-1579.3211234567225
1375,306.5506440246112,1781.7,-1475.149355975389
1376,2714.666015706497,2223.8000000000006,490.86601570649646
1377,2655.8249225056543,2251.0,404.8249225056543
1378,2505.044587412884,2166.899999999999,338.1445874128849
1379,2329.0448572411333,2046.1999999999998,282.84485724113347
1380,2164.145698589226,1971.4000000000012,192.74569858922473
1381,2010.8493419026188,1921.2000000000005,89.64934190261829
1382,1850.5748155091003,1852.9999999999989,-2.425184490898573
1383,1738.8600309150297,1815.4000000000003,-76.53996908497061
1384,1681.690109361945,1857.8999999999983,-176.20989063805337
1385,1699.1877178623542,1920.4000000000008,-221.21228213764653
1386,1763.5763447695351,2062.799999999999,-299.2236552304637
1387,1898.9710857907053,2272.500000000001,-373.52891420929564
1388,1971.980296480345,2357.199999999999,-385.2197035196539
1389,2048.8119050324435,2445.7999999999997,-396.9880949675562
1390,2095.218031454832,2463.9000000000005,-368.68196854516873
1391,2169.3988148624967,2546.3999999999996,-377.00118513750294
1392,2288.807610575678,2726.600000000001,-437.79238942432266
1393,104.7406055840449,2343.5,-2238.7593944159553
1394,260.85736273152384,2368.1000000000017,-2107.2426372684777
1395,420.2103167104048,2362.099999999999,-1941.8896832895941
1396,589.2672848915624,2384.600000000001,-1795.3327151084384
1397,746.4653906313329,2406.999999999999,-1660.5346093686662
1398,867.0368882545033,2366.7000000000007,-1499.6631117454974
1399,996.956673151942,2375.7000000000016,-1378.7433268480595
1400,3387.8463408647017,2705.099999999999,682.7463408647027
1401,3280.440632399102,2656.9,623.5406323991019
1402,3115.3384279445795,2558.7,556.6384279445797
1403,2919.653405881349,2439.899999999999,479.75340588134986
1404,2683.634001429364,2250.2,433.43400142936434
1405,2446.834503315802,2085.500000000001,361.33450331580116
1406,2238.890825178496,1937.9000000000005,300.99082517849547
1407,2083.9638979271444,1882.0000000000002,201.96389792714422
1408,1956.8537688287,1825.3000000000013,131.5537688286986
1409,1903.7537698906665,1846.999999999999,56.7537698906674
1410,1931.1474642069868,1965.8000000000009,-34.65253579301407
1411,2013.6814089356512,2108.5000000000005,-94.81859106434922
1412,2038.2653728350333,2138.6000000000004,-100.33462716496706
1413,2052.994496876944,2147.6000000000004,-94.60550312305622
1414,2090.5546802054523,2208.3999999999996,-117.84531979454732
1415,2114.2104366972103,2232.8,-118.58956330278988
1416,2148.309049950264,2278.8999999999996,-130.5909500497355
1417,12.226101935924882,1310.4999999999993,-1298.2738980640745
1418,61.86284286541742,1349.9000000000005,-1288.0371571345831
1419,150.25184613339454,1349.3000000000006,-1199.048153866606
1420,277.75240573513446,1382.7000000000005,-1104.947594264866
1421,400.6005461456422,1396.5999999999997,-995.9994538543574
1422,531.8797159392934,1424.8999999999996,-893.0202840607062
1423,638.9288030737404,1425.6,-786.6711969262595
1424,3046.382796059059,1730.699999999999,1315.68279605906
1425,2894.725718502923,1645.999999999999,1248.7257185029239
1426,2712.118706132429,1562.9999999999995,1149.1187061324295
1427,2512.330047560589,1442.7999999999995,1069.5300475605893
1428,2235.2013595488106,1263.2000000000007,972.0013595488099
1429,2005.4024642729576,1175.7,829.7024642729575
1430,1840.9702193958988,1127.7999999999993,713.1702193958995
1431,1671.1822037857946,1087.7000000000007,583.4822037857939
1432,1612.476721164847,1141.1999999999996,471.27672116484746
1433,1575.187317947334,1154.7000000000003,420.4873179473336
1434,1577.7397913447078,1215.7000000000007,362.03979134470706
1435,1621.3724433114678,1267.2,354.17244331146776
1436,1641.6716234582257,1294.1999999999998,347.47162345822585
1437,1665.959393393563,1327.6,338.3593933935631
1438,1691.8909316166703,1360.5,331.3909316166703
1439,1742.4446490312216,1430.1,312.3446490312217
1440,1773.8629978215172,1461.1000000000004,312.7629978215168
1441,0.0310900100598478,1127.7999999999993,-1127.7689099899394
1442,0.7787248661636004,1161.000000000001,-1160.2212751338373
1443,17.80356327402914,1271.3,-1253.4964367259709
1444,58.36591678498716,1268.8,-1210.4340832150128
1445,148.6383597306301,1303.6,-1154.9616402693698
1446,257.2599715391493,1315.7999999999993,-1058.54002846085
1447,364.3510931846612,1319.6999999999996,-955.3489068153384
