hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_kwh_h
8136,493.54432874958206,570.7999999999998,-77.25567125041778
8137,0.0,385.8000000000001,-385.8000000000001
8138,0.0,369.2,-369.2
8139,0.0,363.0999999999999,-363.0999999999999
8140,0.0,383.90000000000026,-383.90000000000026
8141,0.0,389.9000000000001,-389.9000000000001
8142,0.0,369.09999999999997,-369.09999999999997
8143,0.0,370.19999999999993,-370.19999999999993
8144,863.2307346897187,539.4999999999999,323.7307346897188
8145,769.0547461020403,515.4,253.65474610204035
8146,677.2715635785875,497.7000000000001,179.57156357858736
8147,575.2893811526882,478.90000000000026,96.38938115268792
8148,506.83166898323725,484.8000000000003,22.031668983236955
8149,401.2040555439916,452.4000000000001,-51.195944456008476
8150,337.85943363788135,427.69999999999976,-89.84056636211841
8151,273.3450549843148,390.3000000000001,-116.95494501568533
8152,263.4152051326166,395.6,-132.1847948673834
8153,274.42577396460626,418.9999999999999,-144.57422603539362
8154,276.6038669656001,424.19999999999965,-147.59613303439954
8155,253.75053573673938,401.20000000000005,-147.44946426326067
8156,265.45552034098705,417.89999999999986,-152.4444796590128
8157,294.82248444890206,451.4000000000001,-156.57751555109803
8158,323.3389379171998,482.0000000000003,-158.66106208280047
8159,342.68805702143163,500.40000000000003,-157.7119429785684
8160,353.2462726321105,507.3999999999997,-154.1537273678892
8161,0.0,328.49999999999994,-328.49999999999994
8162,0.0,358.2999999999999,-358.2999999999999
8163,0.0,386.10000000000014,-386.10000000000014
8164,0.0,401.5,-401.5
8165,0.0,414.79999999999984,-414.79999999999984
8166,0.0,423.4999999999996,-423.4999999999996
8167,0.0,422.3999999999998,-422.3999999999998
8168,871.7674950343265,598.2000000000003,273.56749503432627
8169,793.3155189390828,579.3,214.01551893908288
8170,716.4770903690167,573.8,142.6770903690167
8171,619.4065424038828,552.4000000000001,67.00654240388269
8172,492.2782727407845,543.6,-51.32172725921555
8173,393.64491183653934,526.3000000000001,-132.65508816346073
8174,314.9244320847502,543.1999999999999,-228.27556791524972
8175,256.3849080478594,525.1,-268.7150919521406
8176,259.8878372654875,535.0000000000001,-275.1121627345126
8177,281.0500858088557,543.9999999999999,-262.94991419114416
8178,332.8961267246877,575.9000000000001,-243.0038732753124
8179,362.92561508415133,584.4000000000002,-221.47438491584887
8180,410.2837604670736,616.6000000000001,-206.31623953292655
8181,444.9233977102692,636.1000000000001,-191.1766022897309
8182,463.80282690855404,638.9000000000001,-175.09717309144605
8183,488.6470249770653,650.0999999999999,-161.4529750229346
8184,500.2600952171945,648.4999999999998,-148.2399047828053
8185,0.0,499.50000000000006,-499.50000000000006
8186,0.0,516.9000000000001,-516.9000000000001
8187,0.0,537.3000000000001,-537.3000000000001
8188,0.0,562.4999999999998,-562.4999999999998
8189,0.0,631.0999999999999,-631.0999999999999
8190,0.0,672.8000000000002,-672.8000000000002
8191,0.1091413976169944,690.9,-690.790858602383
8192,1373.1116331873725,837.3999999999999,535.7116331873726
8193,1241.483444279935,791.3,450.183444279935
8194,1130.8204241638673,788.8,342.02042416386735
8195,984.6043231784718,766.3000000000001,218.3043231784717
8196,833.8633251756288,747.3000000000001,86.56332517562873
8197,728.7383575010317,766.2,-37.46164249896833
8198,624.0173268150269,756.0000000000002,-131.98267318497335
8199,577.937846887505,773.6,-195.66215311249505
8200,599.2707012763055,823.4000000000001,-224.12929872369455
8201,651.5054417789364,854.9999999999998,-203.49455822106336
8202,733.0305661490439,910.2,-177.16943385095612
8203,814.4444759987122,968.9000000000001,-154.45552400128793
8204,882.3763142811855,1010.7999999999997,-128.42368571881423
8205,934.1153459290331,1038.5999999999995,-104.48465407096637
8206,1019.6293074653582,1105.0000000000002,-85.37069253464199
8207,1082.5319883933103,1146.9999999999995,-64.46801160668929
8208,1142.3276027983648,1186.8,-44.472397201635204
8209,0.0,1026.1999999999998,-1026.1999999999998
8210,0.0,1029.2999999999997,-1029.2999999999997
8211,0.2927427492807806,1049.8,-1049.5072572507192
8212,1.197871031568112,1069.2000000000007,-1068.0021289684325
8213,9.219728410091705,1056.4000000000003,-1047.1802715899087
8214,37.491660578206606,1027.7999999999997,-990.3083394217931
8215,134.65445206361397,1053.9,-919.2455479363862
8216,2440.1178412538566,1215.8000000000002,1224.3178412538564
8217,2252.896864312458,1209.5999999999997,1043.2968643124584
8218,2054.559819970094,1184.0000000000005,870.5598199700935
8219,1841.8420985121172,1149.3999999999996,692.4420985121176
8220,1665.5605374882125,1134.8999999999992,530.6605374882133
8221,1529.3367852407532,1128.2999999999997,401.0367852407535
8222,1361.562483128054,1079.1000000000004,282.4624831280537
8223,1247.2496325117843,1056.7000000000003,190.549632511784
8224,1196.642189979013,1051.4,145.2421899790129
8225,1189.1912428069722,1073.7000000000005,115.49124280697174
8226,1171.2907656658917,1063.5000000000005,107.79076566589129
8227,1166.6034926588818,1066.6000000000006,100.00349265888121
8228,1184.6877800154289,1094.3000000000004,90.38778001542846
8229,1182.2861452669363,1095.3000000000004,86.98614526693586
8230,1193.8366131256637,1110.2,83.63661312566364
8231,1196.2173251736447,1114.6999999999998,81.51732517364485
8232,1191.811596393832,1110.9,80.91159639383181
8233,0.0,963.0999999999998,-963.0999999999998
8234,0.0,974.8000000000002,-974.8000000000002
8235,0.1268089998946915,972.3000000000002,-972.1731910001055
8236,0.807857210729487,979.9000000000001,-979.0921427892706
8237,5.294436040761032,990.5,-985.2055639592389
8238,31.650104589819534,998.3000000000001,-966.6498954101805
8239,110.0951245169833,1007.1,-897.0048754830167
8240,2399.081663429266,1160.6999999999994,1238.3816634292666
8241,2228.57325428896,1177.9999999999998,1050.5732542889602
8242,2056.579107205696,1159.8999999999992,896.6791072056967
8243,1922.4908972735163,1172.8999999999996,749.5908972735167
