hour,simstadt_heating_demand_kwh_h
1222,916.4000000000004
1223,913.4000000000004
1224,936.0000000000001
1225,794.1
1226,777.5999999999998
1227,771.8999999999997
1228,742.4999999999999
1229,699.7999999999997
1230,677.6000000000003
1231,672.7000000000005
1232,800.6
1233,789.3
1234,757.3999999999997
1235,723.3000000000002
1236,716.4999999999999
1237,701.3999999999999
1238,663.2000000000003
1239,660.2
1240,644.8000000000001
1241,640.3
1242,628.9999999999997
1243,608.9999999999997
1244,590.3
1245,587.9
1246,550.5
1247,540.2999999999998
1248,529.7999999999997
1249,361.6999999999999
1250,377.79999999999995
1251,373.79999999999984
1252,363.2999999999998
1253,362.8999999999998
1254,373.29999999999995
1255,378.4
1256,524.6
1257,496.0
1258,442.0
1259,426.89999999999964
1260,375.79999999999984
1261,361.49999999999983
1262,365.79999999999995
1263,351.49999999999994
1264,383.9999999999999
1265,396.09999999999997
1266,403.50000000000017
1267,445.80000000000007
1268,451.10000000000025
1269,468.2000000000001
1270,492.9
1271,510.5000000000002
1272,525.8999999999999
1273,384.2999999999999
1274,395.1999999999998
1275,404.3000000000002
1276,397.20000000000005
1277,409.0000000000001
1278,424.19999999999976
1279,420.69999999999976
1280,587.1
1281,576.2000000000002
1282,565.9
1283,517.5
1284,488.60000000000014
1285,477.00000000000006
1286,457.8000000000002
1287,431.99999999999966
1288,433.7999999999997
1289,458.90000000000026
1290,487.8000000000001
1291,524.3000000000001
1292,516.0000000000001
1293,529.3999999999999
1294,547.5999999999998
1295,537.8000000000001
1296,558.8000000000002
1297,416.29999999999995
1298,433.4999999999997
1299,445.1000000000001
1300,491.4
1301,503.9
1302,524.3000000000001
1303,534.9
1304,690.5
1305,682.6000000000004
1306,644.5000000000002
1307,604.2999999999997
1308,575.5000000000002
1309,557.0000000000002
1310,534.9
1311,515.8000000000002
1312,487.9000000000001
1313,513.1000000000001
1314,550.9000000000001
1315,587.2
1316,603.1999999999997
1317,618.5999999999999
1318,624.0999999999999
1319,636.6
1320,623.0
1321,487.3000000000001
1322,498.29999999999995
1323,511.10000000000025
1324,494.59999999999997
1325,507.90000000000003
1326,502.3999999999999
1327,477.00000000000006
1328,585.0
1329,581.2000000000002
1330,555.2000000000002
1331,495.3999999999999
1332,433.4999999999997
1333,398.7000000000001
1334,347.6
1335,339.2000000000001
1336,370.20000000000005
1337,362.79999999999984
1338,396.5
1339,434.9999999999998
1340,453.80000000000035
1341,449.3000000000002
1342,453.2000000000003
1343,460.7000000000003
1344,462.90000000000015
1345,333.1000000000001
1346,357.1
1347,385.9999999999999
1348,390.4999999999998
1349,387.59999999999985
1350,386.79999999999995
1351,397.50000000000006
1352,549.8000000000001
1353,547.5999999999998
1354,519.4999999999999
1355,498.7999999999999
1356,475.7000000000001
1357,451.8000000000003
1358,463.1000000000002
1359,449.7000000000002
1360,466.40000000000015
1361,487.60000000000014
1362,524.4
1363,579.6000000000001
1364,624.9999999999998
1365,651.2000000000002
1366,655.6999999999999
1367,707.5000000000003
1368,711.2000000000004
1369,600.6999999999998
1370,629.8999999999997
1371,601.8999999999997
1372,613.3999999999997
1373,623.7999999999998
1374,603.8999999999996
1375,603.6999999999996
1376,754.3999999999997
1377,762.6999999999997
1378,734.0999999999997
1379,693.7
1380,667.9000000000004
1381,651.4000000000002
1382,628.6999999999997
1383,615.8999999999999
1384,630.5999999999998
1385,651.2000000000002
1386,700.2999999999997
1387,770.8999999999996
1388,799.4
1389,829.1000000000001
1390,836.1000000000004
1391,864.7999999999994
1392,924.3000000000001
1393,794.4
1394,803.1000000000001
1395,800.9
1396,808.7000000000004
1397,815.9000000000002
1398,802.7
1399,805.4999999999999
1400,917.3000000000003
1401,901.0000000000001
1402,867.7999999999993
1403,826.7000000000002
1404,762.1999999999997
1405,707.2000000000003
1406,656.8999999999999
1407,637.4999999999998
1408,619.4
1409,626.4999999999998
1410,666.3000000000004
1411,715.3999999999999
1412,725.1
1413,728.3000000000001
1414,749.0999999999997
1415,757.4999999999998
1416,773.6999999999998
1417,334.9999999999998
1418,346.1
1419,345.70000000000005
1420,354.0000000000001
1421,358.40000000000015
1422,365.0
1423,365.1
1424,443.2999999999999
1425,421.20000000000005
1426,400.00000000000006
1427,369.70000000000016
1428,324.0999999999996
1429,301.6000000000002
1430,288.99999999999994
1431,278.0000000000001
1432,292.50000000000006
1433,296.40000000000003
1434,311.7000000000001
1435,325.0999999999996
1436,331.0999999999997
1437,341.20000000000005
1438,348.5000000000001
1439,366.60000000000014
1440,373.99999999999994
1441,288.99999999999994
1442,298.20000000000005
1443,326.4999999999996
1444,325.2999999999996
1445,332.9999999999997
1446,336.4999999999999
1447,337.0999999999999
1448,426.70000000000005
1449,420.90000000000003
1450,388.99999999999983
1451,368.7000000000002
1452,346.6000000000001
1453,318.1999999999999
1454,301.8000000000002
1455,304.7000000000003
1456,308.2000000000001
1457,308.2000000000001
1458,355.90000000000026
1459,377.8999999999998
1460,404.8999999999997
1461,413.0999999999999
1462,430.70000000000005
1463,445.10000000000014
1464,460.1
1465,394.1999999999999
1466,394.8999999999998
1467,397.0
1468,392.9
1469,398.49999999999994
1470,401.2
1471,407.9999999999999
1472,485.09999999999997
1473,490.4
1474,480.6
1475,465.2999999999999
1476,462.99999999999994
1477,459.49999999999994
1478,470.09999999999985
1479,468.69999999999993
1480,471.6
1481,490.79999999999995
1482,491.9
1483,490.59999999999997
1484,484.29999999999995
1485,489.90000000000003
1486,496.40000000000003
1487,499.80000000000007
1488,485.09999999999997
1489,400.6
1490,394.8999999999998
1491,401.79999999999995
1492,391.5999999999999
1493,397.2
1494,394.1999999999999
1495,388.29999999999984
1496,460.1
1497,445.7000000000001
1498,423.40000000000003
1499,393.5999999999999
1500,374.29999999999995
1501,344.50000000000006
1502,329.7999999999996
1503,333.1999999999997
1504,341.80000000000007
1505,370.5000000000001
1506,392.69999999999993
1507,407.9999999999999
1508,434.1000000000002
1509,433.1000000000001
1510,445.50000000000006
1511,455.19999999999993
1512,449.3
1513,395.39999999999986
1514,405.4999999999998
1515,404.2999999999997
1516,393.6999999999999
1517,383.2
1518,375.99999999999983
1519,372.5000000000001
1520,437.8000000000001
1521,426.50000000000006
1522,413.0999999999999
1523,389.2999999999999
1524,364.20000000000005
1525,346.00000000000006
1526,340.50000000000006
1527,333.7999999999997
1528,337.99999999999994
1529,337.0999999999999
1530,353.7000000000001
1531,348.7000000000001
1532,339.09999999999997
1533,337.8999999999999
1534,340.3
1535,333.69999999999976
1536,336.79999999999995
1537,261.20000000000005
1538,251.29999999999995
1539,264.1000000000002
1540,277.30000000000007
