hour,simstadt_heating_demand_kwh_h
1688,864.6000000000001
1689,822.9999999999999
1690,761.2999999999997
1691,661.1
1692,654.6999999999995
1693,600.0
1694,536.9000000000001
1695,487.6
1696,528.3000000000003
1697,630.7
1698,710.0999999999998
1699,748.3999999999997
1700,794.3000000000003
1701,836.3999999999999
1702,932.4000000000003
1703,1009.7
1704,1001.6000000000004
1705,1062.4
1706,1040.1999999999998
1707,1046.8000000000004
1708,1094.2
1709,1123.9
1710,1104.6
1711,1099.6000000000001
1712,1084.0000000000007
1713,1019.4999999999998
1714,968.2999999999997
1715,872.3999999999999
1716,802.2000000000003
1717,761.7999999999997
1718,733.5999999999998
1719,719.8999999999999
1720,748.5999999999998
1721,794.7000000000003
1722,796.2
1723,847.0999999999999
1724,904.6000000000003
1725,937.8000000000005
1726,957.7999999999998
1727,966.9999999999997
1728,1004.6000000000003
1729,1021.7999999999998
1730,1063.0000000000002
1731,1103.6000000000001
1732,1083.4000000000005
1733,1118.3999999999996
1734,1155.0000000000007
1735,1175.2
1736,1189.0
1737,1119.3999999999996
1738,1076.3000000000002
1739,1030.4999999999998
1740,975.9999999999998
1741,912.8000000000002
1742,875.0999999999997
1743,877.9999999999994
1744,873.2999999999997
1745,974.9999999999998
1746,1023.4999999999997
1747,1102.5000000000002
1748,1091.2000000000005
1749,1129.999999999999
1750,1139.4999999999995
1751,1175.1000000000001
1752,1205.5
1753,1234.9999999999998
1754,1287.0
1755,1323.2
1756,1309.1999999999996
1757,1330.0999999999997
1758,1316.4999999999993
1759,1313.8999999999994
1760,1279.2
1761,1180.0999999999992
1762,1091.9000000000003
1763,999.7000000000003
1764,878.9999999999992
1765,793.5000000000003
1766,767.7
1767,743.6999999999999
1768,734.4999999999999
1769,795.5
1770,861.0000000000006
1771,936.6000000000006
1772,1002.7000000000003
1773,1011.6999999999998
1774,1030.0999999999997
1775,1072.5
1776,1098.9
1777,1126.0999999999997
1778,1209.8
1779,1294.9999999999998
1780,1304.6999999999998
1781,1332.5999999999995
1782,1346.6
1783,1367.3000000000009
1784,1390.6
1785,1336.0999999999997
1786,1219.6000000000008
1787,1119.0999999999997
1788,1013.0999999999999
1789,961.0999999999997
1790,952.1999999999996
1791,931.2000000000003
1792,970.9999999999997
1793,1062.5000000000002
1794,1205.1
1795,1327.2
1796,1467.3000000000006
1797,1521.4999999999995
1798,1556.6000000000001
1799,1658.3
1800,1738.7999999999986
1801,1779.2
1802,1777.4
1803,1736.1999999999987
1804,1741.7999999999984
1805,1735.2999999999986
1806,1700.6000000000001
1807,1665.0000000000002
1808,1601.0
1809,1542.3000000000004
1810,1444.3999999999996
1811,1271.0
1812,1172.7000000000005
1813,1050.1000000000004
1814,1018.4999999999999
1815,970.0999999999996
1816,986.1000000000003
1817,1013.7999999999998
1818,1119.9999999999998
1819,1164.8
1820,1196.4000000000005
1821,1215.5000000000007
1822,1261.8000000000009
1823,1239.6999999999994
1824,1218.3000000000009
1825,1213.1000000000004
1826,1179.7999999999995
1827,1210.7
1828,1231.8999999999996
1829,1252.0
1830,1228.3000000000006
1831,1249.1999999999998
1832,1208.5
1833,1131.8999999999992
1834,968.1999999999997
1835,845.9999999999999
1836,765.6
1837,685.1
1838,550.0
1839,514.3999999999997
1840,464.8000000000002
1841,492.20000000000005
1842,524.1
1843,590.4000000000002
1844,629.5999999999999
1845,666.8000000000003
1846,716.2999999999998
1847,773.8000000000001
1848,755.4999999999994
1849,779.7000000000004
1850,802.6000000000003
1851,786.8000000000004
1852,800.9000000000003
1853,811.9999999999999
1854,835.0999999999999
1855,824.3
1856,833.4999999999999
1857,836.8999999999999
1858,782.3000000000005
1859,741.8000000000001
1860,691.8000000000004
1861,718.4999999999999
1862,711.7999999999998
1863,686.4000000000001
1864,720.6999999999998
1865,750.8999999999996
1866,763.2999999999998
1867,828.0
1868,902.8000000000001
1869,911.7000000000002
1870,943.3999999999999
1871,1003.5000000000002
1872,1003.9000000000002
1873,1005.6000000000001
1874,1035.7999999999993
1875,1135.3999999999996
1876,1133.1999999999994
1877,1136.5999999999997
1878,1083.8000000000006
1879,1119.6
1880,1152.3
1881,1110.6999999999996
1882,1122.4
1883,1083.6000000000006
1884,1015.0999999999997
1885,895.8000000000004
1886,861.8000000000004
