Building ID,building_type,usage_type,heated_area_m2,heated_volume_m3,window_to_heated,window_to_wall,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct,heating_mismatch_score,heating_diff_abs_kwh,heating_diff_abs_pct
DEBW_52210005JLO,MFH,residential,251.3,785.4,0.28563469956227616,0.2051736458482206,7026.253610380676,8451.0,-1424.746389619324,-16.858908882017797,16.858908882017797,1424.746389619324,16.858908882017797
DEBW_522100050wu,MFH,residential,430.5,1345.2,0.22492450638792102,0.2035954583683768,10506.837800605195,12616.8,-2109.962199394804,-16.723433829455995,16.723433829455995,2109.962199394804,16.723433829455995
DEBW_52210003rIo,RH,residential,166.8,521.1,0.3502398081534772,0.3117229603543033,5167.614503591888,6191.0,-1023.385496408112,-16.530213154710257,16.530213154710257,1023.385496408112,16.530213154710257
DEBW_52210005LJS,MFH,residential,300.0,937.3,0.24240000000000003,0.2078605116478491,7419.347550544235,8884.6,-1465.2524494557656,-16.49204746928129,16.49204746928129,1465.2524494557656,16.49204746928129
DEBW_52210005dgg,MFH,residential,165.1,515.8,0.2668685645063598,0.223179009218924,5037.004487096814,6019.7,-982.6955129031858,-16.32465925051391,16.32465925051391,982.6955129031858,16.32465925051391
DEBW_52210005KEF,MFH,residential,2050.4,6407.4,0.13777799453765116,0.2133524658258439,41958.49002953701,50136.6,-8178.109970462989,-16.311656495380596,16.311656495380596,8178.109970462989,16.311656495380596
DEBW_52210005fRo,MFH,residential,325.1,1016.0,0.19403260535219932,0.2288077188146106,7562.439738202868,9025.4,-1462.9602617971314,-16.209367582568433,16.209367582568433,1462.9602617971314,16.209367582568433
DEBW_52210003tNq,MFH,residential,244.1,762.8,0.30991396968455553,0.2020080643007824,7141.75218614243,8513.2,-1371.4478138575705,-16.10966280432235,16.10966280432235,1371.4478138575705,16.10966280432235
DEBW_52210005J24,MFH,residential,559.7,1553.9,0.2084688225835269,0.1941366343882067,10780.94413556258,12834.7,-2053.7558644374203,-16.00158838490514,16.00158838490514,2053.7558644374203,16.00158838490514
DEBW_52210005eg5,MFH,residential,310.4,970.0,0.24007731958762893,0.209744152664021,8001.708017137047,9525.8,-1524.0919828629521,-15.999621899084092,15.999621899084092,1524.0919828629521,15.999621899084092
